,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1107,5.857142857142858,10,3,4,2,7,181,7.2857142857142865,25.85714285714285,13,10,3,4,4,1,1,25.33333333333333,30.33333333333333,22.961111111111112,29.03333333333333,Exam2014_ESha_58_1.txt,1,1
1108,3.9090909090909087,7,2,4,1,11,181,5.727272727272728,16.454545454545453,13,11,2,3,16,2,0,12.6,15.9,14.491944444444444,18.47492063492064,Exam2017_NMya_15_1.txt,1,1
1111,7.222222222222222,10,2,8,3,9,318,8.333333333333334,35.333333333333336,18,10,8,9,25,3,2,27.5,37.625,27.20625,38.75193452380952,Exam2019_ABu_178_1.txt,3,1
1114,5.111111111111111,8,3,2,3,9,232,7.777777777777778,25.777777777777786,21,14,7,3,18,3,0,19.625,25.875,20.95744047619048,28.254166666666663,Exam2014_ADe_3_1.txt,2,1
1116,4.571428571428571,6,2,1,1,7,164,5.0,23.42857142857143,8,7,1,3,14,0,2,24.5,29.83333333333333,22.261111111111116,26.819444444444446,Exam2016_OR_62_1.txt,5,1
1118,4.1,6,2,0,2,10,194,7.6,19.4,12,11,1,2,8,0,1,14.555555555555555,19.666666666666668,16.493871252204585,20.861067019400352,Exam2014_EPa_6_1.txt,3,1
1119,6.142857142857142,8,3,0,5,7,190,6.0,27.142857142857142,19,8,11,6,13,0,0,21.166666666666668,25.66666666666667,25.95,32.33888888888889,Exam2014_VKo_32_1.txt,2,1
1120,5.4,6,4,1,1,5,156,4.8,31.2,12,10,2,8,5,1,0,22.25,29.75,21.354166666666668,28.625,Exam2014_ZEv_29_1.txt,8,1
1121,4.3125,7,3,3,1,16,275,7.6875,17.1875,19,16,3,2,8,3,2,14.266666666666667,18.0,15.04532079032079,18.4576097976098,Exam2014_DAr_33_1.txt,2,1
1123,4.7,6,2,1,2,10,241,6.7,24.1,16,15,1,5,9,1,0,18.777777777777786,23.66666666666667,18.16252204585538,22.68443562610229,Exam2017_OBy_137_1.txt,4,1
1125,3.9,7,3,3,2,10,166,5.3,16.6,16,13,3,1,12,2,0,14.555555555555555,17.777777777777782,14.583597883597884,18.186331569664898,Exam2014_DZu_1_1.txt,2,1
1126,5.0,9,2,0,2,8,207,5.25,25.875,16,12,4,5,5,0,0,22.85714285714285,27.0,22.811904761904763,26.69625850340136,Exam2014_VPe_39_1.txt,2,1
1128,5.111111111111111,9,3,3,3,9,203,6.333333333333332,22.55555555555556,14,9,5,2,8,5,0,16.75,22.5,19.43839285714286,25.55372023809524,Exam2014_ADe_12_1.txt,1,1
1132,5.7142857142857135,8,4,0,2,7,181,6.857142857142858,25.85714285714285,14,10,4,3,16,0,1,21.66666666666667,27.5,19.569444444444443,26.13333333333333,Exam2017_EGe_10_1.txt,1,1
1133,2.7142857142857144,6,0,3,1,14,214,5.571428571428571,15.285714285714285,19,17,2,1,10,0,2,13.230769230769232,16.76923076923077,13.691054244900398,17.415631377169838,Exam2016_MTsy_31_1.txt,12,1
1135,3.6428571428571432,7,2,1,2,14,204,3.571428571428572,14.571428571428571,15,13,2,8,14,0,0,12.692307692307692,15.923076923076923,13.642073951689335,16.35717850525543,Exam2019_ABu_202_1.txt,3,1
1141,4.625,7,3,1,1,8,191,9.25,23.875,13,11,2,10,7,1,0,19.714285714285715,24.85714285714285,20.81020408163265,25.1687074829932,Exam2014_ZEv_23_1.txt,3,1
1143,4.666666666666667,8,3,1,2,12,206,3.75,17.166666666666668,21,14,7,4,7,2,0,13.636363636363637,17.0,13.489147973238882,17.126308539944905,Exam2014_ZEv_17_1.txt,6,1
1145,5.428571428571429,7,3,3,3,7,153,6.428571428571429,21.85714285714285,12,9,3,2,7,2,0,17.166666666666668,24.0,16.491666666666667,23.288888888888888,Exam2017_OBy_21_1.txt,4,1
1147,4.25,6,2,0,3,8,173,4.5,21.625,12,9,3,5,6,0,0,20.142857142857142,24.142857142857142,19.968367346938773,24.54387755102041,Exam2017_EGe_221_1.txt,2,1
